nodeID nodeLabel nodeSymbol
639 116127 SUB1
640 107859 CSTF1
641 113350 XRCC2
642 111829 RAD51D
643 114669 MSC
644 109624 ID2
645 112798 TCF12
646 112787 TCF4
647 111216 PEX12
648 111788 PEX5
649 111217 PEX13
650 106877 ARF6
651 116578 NCBP2
652 110766 NCBP1
653 116405 PMF1
654 114840 EIF2AK3
655 109728 IGHMBP2
656 108086 DLG4
657 109963 KCNJ4
658 110770 NCK1
659 108361 EPHB1
660 119075 MINK1
661 111897 RECQL
662 110038 KPNA4
663 115684 YAP1
664 114124 PIAS1
665 112649 STAT1
666 114683 MAPKAPK2
667 112194 S100P
668 109961 KCNJ2
669 110241 LY9
670 107587 AP2M1
671 112930 TIAM1
672 111697 PTBP1
673 109432 HNRNPL
674 109656 IFI35
675 114561 NMI
676 112720 SYN2
677 119042 KCNIP3
678 113121 TTF1
679 129767 PTRF
680 107461 CDKN1B
681 115982 NUP50
682 107127 BMPR2
683 117945 CYFIP2
684 109848 INPPL1
685 114974 NCOR2
686 116655 SPEN
687 107462 CDKN1C
688 113204 UGCG
689 107318 SERPINH1
690 121223 UBQLN4
691 110833 NEUROD1
692 108007 DCTN1
693 107710 COPB1
694 116496 COPG1
695 117926 COPG2
696 110730 MYO6
697 120914 DCP1A
698 108481 BPTF
699 110320 MAZ
700 119153 F11R
701 112937 TJP1
702 112731 ADAM17
703 115828 NPC2
704 111377 PLXNB1
705 107134 BOK
706 107048 BAD
707 116328 LSM6
708 112517 SNRPD2
709 112518 SNRPD3
710 112516 SNRPD1
711 107647 ABCC2
712 117218 CADM1
713 110496 MPP3
714 112921 THOP1
715 107846 CSPG4
716 123330 GRIP2
717 111838 RANBP1
718 113915 CDC45
719 108480 PTK2B
720 119007 UBQLN1
721 108757 MTOR
722 109882 ITGA3
723 114262 SNX4
724 107125 BMPR1A
725 115554 SF3B4
726 111932 RGS7
727 109425 HNRNPD
728 116705 HECW1
729 126479 VPS37A
730 108421 ETV6
731 110690 MYBL2
732 124717 ZNF622
733 118001 CACYBP
734 112391 SKP1
735 110260 MAD2L1
736 108404 ESR2
737 111464 PPARG
738 107049 BAG1
739 109544 HSPA8
740 109144 GRB10
741 117520 GIGYF2
742 111613 PROX1
743 113622 USP7
744 115900 KHDRBS1
745 111848 RAPSN
746 112880 TFAP2C
747 111948 RIT1
748 116486 MRAS
749 111260 PGR
750 111683 PSMD4
751 111824 RAD23B
752 109224 GTF2I
753 112924 THRB
754 111678 PSMC5
755 113037 TRAF1
756 121861 HIVEP3
757 112487 SMARCD2
758 114977 RNF7
759 113743 CUL5
760 115202 SETDB1
761 111214 PEX7
762 111215 PEX10
763 112553 SP3
764 114383 STK19
765 110343 MCM6
766 111926 RFXAP
767 111925 RFX5
768 113038 TRAF2
769 107071 BCL2L2
770 115335 BCL2L11
771 120759 STAP2
772 111720 PTK6
773 125608 EXOSC6
774 111662 PSMB1
775 127944 DCP2
776 109816 IL16
777 110742 PPP1R12A
778 111947 RING1
779 114105 CBX4
780 111817 RAC1
781 111818 RAC2
782 114032 CUL1
783 112751 TALDO1
784 113281 TRPV1
785 126802 SYT9
786 112730 TACC1
787 113761 YEATS4
788 107617 CLNS1A
789 112372 SIAH1
790 110033 KIF22
791 116717 PEG10
792 112373 SIAH2
793 112221 ATXN7
